Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,SMA21,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Forecasts,Trade,Trendline Support,Trendline Broken,Stop %,Target1 %,Target2 %,notes
LLY,,1060.0699,1.61,77.98,86.99,Overbought,3.08,965.819,942.3736,,,14.85,,,,,,,Increasing,1.0,16.49,46.9694,44.4038,2.5656,96.41,95.81,787.2695,1117.7834,948.2803,778.7773,"vol↑, above EMA20, positive ROC","{3: {'yhat': 1096.09, 'yhat_lower': 1065.59, 'yhat_upper': 1127.28}, 5: {'yhat': 1108.17, 'yhat_lower': 1079.27, 'yhat_upper': 1141.51}, 7: {'yhat': 1109.09, 'yhat_lower': 1082.26, 'yhat_upper': 1142.57}, 14: {'yhat': 1113.74, 'yhat_lower': 1083.59, 'yhat_upper': 1143.55}}",SELL,965.8099,False,-4.62,3.08,6.16,
WMT,,105.55,-1.46,70.54,61.09,Neutral,2.09,103.3431,102.9148,,,2.89,,,,,,,Increasing,0.0263,4.53,0.3427,-0.1745,0.5173,65.78,59.67,95.8262,105.8243,102.752,99.6797,"vol↑, above EMA20, positive ROC","{3: {'yhat': 107.46, 'yhat_lower': 105.67, 'yhat_upper': 109.41}, 5: {'yhat': 108.92, 'yhat_lower': 107.06, 'yhat_upper': 110.88}, 7: {'yhat': 109.8, 'yhat_lower': 107.77, 'yhat_upper': 111.7}, 14: {'yhat': 112.23, 'yhat_lower': 110.29, 'yhat_upper': 114.28}}",HOLD,103.1581,False,-3.14,2.09,4.18,
DE,,489.125,2.69,60.89,73.21,Overbought,2.14,473.6173,473.3093,,,4.56,,,,,,,Decreasing,0.0053,6.2,3.6084,2.8421,0.7663,78.19,70.81,471.8241,486.2584,473.3368,460.4151,"above EMA20, positive ROC","{3: {'yhat': 480.89, 'yhat_lower': 469.9, 'yhat_upper': 492.12}, 5: {'yhat': 481.62, 'yhat_lower': 471.21, 'yhat_upper': 493.63}, 7: {'yhat': 482.52, 'yhat_lower': 472.85, 'yhat_upper': 494.58}, 14: {'yhat': 482.23, 'yhat_lower': 471.37, 'yhat_upper': 492.97}}",HOLD,463.9743,False,-3.21,2.14,4.28,
GOOGL,,295.44,2.07,55.15,66.88,Neutral,3.7,280.4689,281.5786,,,5.96,,,,,,,Increasing,1.0,7.6,5.6219,5.8147,-0.1928,62.84,61.93,195.798,297.5374,282.6615,267.7856,"vol↑, above EMA20, positive ROC","{3: {'yhat': 290.1, 'yhat_lower': 285.64, 'yhat_upper': 294.97}, 5: {'yhat': 291.86, 'yhat_lower': 287.23, 'yhat_upper': 296.75}, 7: {'yhat': 293.23, 'yhat_lower': 288.16, 'yhat_upper': 297.96}, 14: {'yhat': 302.0, 'yhat_lower': 297.16, 'yhat_upper': 307.09}}",HOLD,284.5426,False,-5.55,3.7,7.4,
SLV,,45.58,-0.44,43.65,49.53,Neutral,2.88,45.3398,44.8386,,,3.78,,,,,,,Increasing,0.027,5.42,0.3888,0.4681,-0.0793,55.36,56.67,35.102,48.2231,44.881,41.5389,"vol↑, above EMA20, positive ROC","{3: {'yhat': 47.72, 'yhat_lower': 46.81, 'yhat_upper': 48.66}, 5: {'yhat': 48.05, 'yhat_lower': 47.18, 'yhat_upper': 49.05}, 7: {'yhat': 48.1, 'yhat_lower': 47.3, 'yhat_upper': 49.11}, 14: {'yhat': 48.0, 'yhat_lower': 47.09, 'yhat_upper': 48.89}}",SELL,47.0301,True,-4.32,2.88,5.76,
XOM,,116.92,-0.09,42.74,51.44,Neutral,1.94,116.1276,115.8225,,,0.62,,,,,,,Increasing,0.125,2.26,0.8789,1.0731,-0.1942,67.6,74.19,108.0533,120.3147,115.8941,111.4736,"vol↑, above EMA20, positive ROC","{3: {'yhat': 116.99, 'yhat_lower': 114.7, 'yhat_upper': 119.5}, 5: {'yhat': 116.74, 'yhat_lower': 114.35, 'yhat_upper': 119.26}, 7: {'yhat': 116.19, 'yhat_lower': 113.58, 'yhat_upper': 118.62}, 14: {'yhat': 112.95, 'yhat_lower': 110.46, 'yhat_upper': 115.57}}",HOLD,115.2367,False,-2.91,1.94,3.88,
ADBE,,323.18,3.45,38.52,42.79,Neutral,2.35,330.9217,334.2071,,,-1.15,,,,,,,Decreasing,0.0028,0.49,-5.6037,-4.599,-1.0047,17.26,12.36,391.0127,356.0459,333.2415,310.4371,RSI low,"{3: {'yhat': 332.39, 'yhat_lower': 319.06, 'yhat_upper': 346.02}, 5: {'yhat': 335.66, 'yhat_lower': 323.03, 'yhat_upper': 350.23}, 7: {'yhat': 335.65, 'yhat_lower': 323.92, 'yhat_upper': 350.28}, 14: {'yhat': 336.2, 'yhat_lower': 323.03, 'yhat_upper': 349.22}}",SELL,326.0641,True,-3.53,2.35,4.7,
COIN,,240.92,1.16,38.43,20.9,Oversold,8.16,291.4063,305.1714,,,-22.07,,,,,,,Decreasing,0.0079,-20.43,-22.3821,-16.5481,-5.834,7.11,5.98,290.9146,376.7181,302.707,228.6959,RSI low,"{3: {'yhat': 250.21, 'yhat_lower': 233.4, 'yhat_upper': 268.58}, 5: {'yhat': 250.77, 'yhat_lower': 233.33, 'yhat_upper': 269.22}, 7: {'yhat': 249.32, 'yhat_lower': 230.22, 'yhat_upper': 267.15}, 14: {'yhat': 252.4, 'yhat_lower': 234.15, 'yhat_upper': 271.59}}",SELL,300.4024,True,-12.24,8.16,16.32,
SMCI,,32.38,2.6,37.29,24.32,Oversold,8.5,39.8187,42.0295,,,-18.56,,,,,,,Decreasing,0.0087,-16.92,-3.9656,-3.5962,-0.3694,3.51,3.61,42.2577,56.8377,41.7165,26.5953,RSI low,"{3: {'yhat': 37.48, 'yhat_lower': 33.71, 'yhat_upper': 41.33}, 5: {'yhat': 39.05, 'yhat_lower': 35.48, 'yhat_upper': 43.17}, 7: {'yhat': 39.49, 'yhat_lower': 36.17, 'yhat_upper': 43.62}, 14: {'yhat': 42.14, 'yhat_lower': 38.42, 'yhat_upper': 45.83}}",SELL,42.99,True,-12.75,8.5,17.0,
COST,,896.6275,0.37,36.45,34.62,Neutral,1.72,913.8818,916.832,,,-2.83,,,,,,,Increasing,0.0035,-1.19,-8.4712,-5.6597,-2.8115,27.4,19.08,960.4267,943.6775,916.1325,888.5874,"vol↑, RSI low","{3: {'yhat': 916.6, 'yhat_lower': 900.05, 'yhat_upper': 934.7}, 5: {'yhat': 922.06, 'yhat_lower': 904.89, 'yhat_upper': 940.23}, 7: {'yhat': 925.51, 'yhat_lower': 906.7, 'yhat_upper': 943.07}, 14: {'yhat': 941.57, 'yhat_lower': 923.6, 'yhat_upper': 960.47}}",HOLD,900.79,False,-2.58,1.72,3.44,
