Symbol,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,notes
L,104.22,-0.18,79.6,68.68,Neutral,1.56,101.9463,Bullish,★★★★☆ →,3.56,0.0,
AKRO,54.35,0.18,77.19,69.14,Neutral,0.36,53.6282,Bullish,★★★★☆ →,0.59,0.0,
BNS,67.34,-0.16,77.19,65.29,Neutral,1.3,66.154,Bullish,★★★★☆ →,2.42,0.0,
UGI,34.72,-0.34,76.91,65.94,Neutral,1.77,33.9604,Bullish,★★★★☆ →,3.03,0.0,
CME,279.13,-2.07,76.88,60.4,Neutral,2.03,273.7502,Bullish,★★★★☆ →,4.21,0.0,
IBB,165.26,0.65,76.85,71.91,Overbought,2.06,159.1777,Bullish,★★★★☆ ↓,5.88,0.0,
NVS,131.53,0.21,76.84,61.35,Neutral,1.38,128.6805,Bullish,★★★★☆ →,5.22,0.0,
CNP,40.19,1.14,76.6,64.09,Neutral,1.45,39.3974,Bullish,★★★★☆ →,3.76,0.0,
SNY,51.78,-0.69,76.54,60.13,Neutral,1.62,50.6852,Bullish,★★★★☆ →,5.44,0.0,
XLV,151.73,-0.07,76.44,74.82,Overbought,1.31,147.5646,Bullish,★★★★☆ ↓,4.57,0.0,
NEE,85.77,2.25,76.04,62.33,Neutral,1.93,83.5152,Bullish,★★★★☆ →,4.99,0.0,
MFC,33.79,-1.66,76.01,61.35,Neutral,2.01,33.2099,Bullish,★★★★☆ →,2.86,0.0,
BTI,54.69,1.03,75.86,59.59,Neutral,1.62,53.6173,Bullish,★★★★☆ →,3.23,0.0,
DOLE,14.05,0.68,75.8,70.97,Overbought,2.62,13.4019,Bullish,★★★★☆ ↓,8.62,0.0,
TRV,284.46,-0.99,75.65,61.98,Neutral,1.75,278.5839,Bullish,★★★★☆ →,2.59,0.0,
WRB,77.12,0.16,75.58,63.1,Neutral,1.66,75.3071,Bullish,★★★★☆ →,4.15,0.0,
AMX,23.16,-0.28,75.57,61.24,Neutral,2.16,22.8114,Bullish,★★★★☆ →,2.46,0.0,
HIG,132.06,-1.34,75.38,60.7,Neutral,1.63,129.3852,Bullish,★★★★☆ →,3.22,0.0,
SEE,41.9,-3.19,75.31,71.85,Overbought,3.98,37.3158,Bullish,★★★★☆ ↓,17.14,0.0,
CM,86.88,-0.34,75.3,69.68,Neutral,1.4,84.3102,Bullish,★★★★☆ →,4.28,0.0,
ZIM,17.03,6.3,75.27,71.71,Overbought,4.56,15.1236,Bullish,★★★★☆ ↓,18.68,0.0,
AMLP,46.62,-0.71,75.22,59.32,Neutral,1.1,46.0645,Bullish,★★★★☆ →,2.29,0.0,
BP,36.5,-0.08,75.2,64.35,Neutral,1.86,35.3335,Bullish,★★★★☆ →,5.37,0.0,
XLE,90.33,-1.84,75.17,56.09,Neutral,1.74,89.2314,Bullish,★★★★☆ →,3.6,0.0,
CBOE,257.91,-0.17,75.17,65.73,Neutral,2.21,250.8457,Bullish,★★★★☆ →,3.06,0.0,
ALB,117.71,2.23,75.07,71.24,Overbought,5.47,102.0431,Bullish,★★★★☆ ↓,33.08,0.0,
XOM,117.69,-1.34,75.01,59.63,Neutral,1.82,115.4535,Bullish,★★★★☆ →,4.01,0.0,
POR,49.15,-0.58,74.98,68.47,Neutral,2.09,47.6649,Bullish,★★★★☆ →,3.7,0.0,
ILF,30.15,-1.24,74.96,59.1,Neutral,1.57,29.7546,Bullish,★★★★☆ →,3.29,0.0,
GPCR,37.44,1.68,74.89,72.27,Overbought,5.39,32.8048,Bullish,★★★★☆ ↓,10.09,0.0,
EPD,31.74,-1.61,74.89,60.78,Neutral,1.8,31.1388,Bullish,★★★★☆ →,5.03,0.0,
DHR,220.52,-0.31,74.87,62.12,Neutral,2.32,215.1206,Bullish,★★★★☆ →,3.13,0.0,
VALE,12.16,-1.1,74.82,60.01,Neutral,2.1,11.9801,Bullish,★★★★☆ →,1.88,0.0,
PAA,16.85,-0.53,74.8,59.54,Neutral,2.03,16.5268,Bullish,★★★★☆ →,2.56,0.0,
VLO,178.42,-1.84,74.75,59.44,Neutral,2.99,173.325,Bullish,★★★★☆ →,5.51,0.0,
FE,46.56,1.34,74.72,59.17,Neutral,1.37,45.9236,Bullish,★★★★☆ →,1.87,0.0,
MDU,20.44,-0.8,74.69,61.22,Neutral,2.25,20.0807,Bullish,★★★★☆ →,5.33,0.0,
EWZ,32.79,-1.18,74.68,64.65,Neutral,1.58,31.9118,Bullish,★★★★☆ →,5.16,0.0,
ET,16.94,-0.41,74.67,59.15,Neutral,1.8,16.6208,Bullish,★★★★☆ →,4.42,0.0,
HDB,36.81,1.0,74.64,58.02,Neutral,1.45,36.2652,Bullish,★★★★☆ →,1.56,0.0,
WES,39.01,0.83,74.64,59.19,Neutral,2.03,38.2905,Bullish,★★★★☆ →,4.47,0.0,
KO,70.68,-0.67,74.62,58.43,Neutral,1.56,69.8194,Bullish,★★★★☆ →,2.94,0.0,
AEE,105.27,0.24,74.61,58.48,Neutral,1.45,103.9925,Bullish,★★★★☆ →,3.3,0.0,
CB,295.61,0.04,74.6,68.11,Neutral,1.49,286.5814,Bullish,★★★★☆ →,3.49,0.0,
TTE,65.0,-0.62,74.57,68.25,Neutral,1.51,62.7425,Bullish,★★★★☆ →,6.11,0.0,
ACGL,91.81,-0.77,74.48,61.36,Neutral,1.77,89.584,Bullish,★★★★☆ →,4.96,0.0,
SHEL,75.39,-0.49,74.46,57.73,Neutral,1.42,74.4797,Bullish,★★★★☆ →,3.21,0.0,
VRTX,434.02,-0.72,74.44,62.0,Neutral,2.77,423.5769,Bullish,★★★★☆ →,2.93,0.0,
PAGP,17.76,-0.56,74.44,58.3,Neutral,1.82,17.4447,Bullish,★★★★☆ →,2.42,0.0,
TJX,145.18,-0.61,74.43,56.54,Neutral,1.7,143.9373,Neutral,★★★★☆ →,2.5,0.0,
JNJ,199.52,1.83,74.39,74.7,Overbought,1.53,191.1397,Bullish,★★★★☆ ↓,6.78,0.0,
HOLX,74.14,-0.01,74.34,66.31,Neutral,0.33,73.333,Bullish,★★★★☆ →,0.04,0.0,
SH,37.25,0.98,74.34,58.7,Neutral,1.21,36.6904,Bullish,★★★★☆ →,1.66,0.0,
MDT,96.34,0.49,74.31,62.8,Neutral,1.61,93.9781,Bullish,★★★★☆ →,6.55,0.0,
ABT,130.06,-0.41,74.28,57.39,Neutral,1.55,127.8024,Bullish,★★★★☆ →,3.39,0.0,
DTM,114.9,-0.9,74.26,60.28,Neutral,2.55,112.1678,Bullish,★★★★☆ →,4.27,0.0,
AHR,47.91,-0.85,74.18,65.53,Neutral,2.73,46.5002,Bullish,★★★★☆ →,4.2,0.0,
HQY,100.17,-1.57,74.17,61.14,Neutral,2.95,96.8272,Bullish,★★★★☆ →,5.4,0.0,
CMS,74.46,0.7,74.16,57.4,Neutral,1.77,73.5074,Bullish,★★★★☆ →,2.86,0.0,
LNT,68.1,1.14,74.15,57.9,Neutral,1.35,67.3642,Bullish,★★★★☆ →,2.27,0.0,
EWH,22.36,-1.78,74.14,55.89,Neutral,1.37,22.1698,Neutral,★★★★☆ →,2.31,0.0,
DUK,125.18,2.01,74.11,57.75,Neutral,1.41,123.5944,Bullish,★★★★☆ →,1.97,0.0,
CTRE,36.39,1.42,73.96,59.73,Neutral,2.52,35.534,Bullish,★★★★☆ →,2.83,0.0,
AEP,123.72,2.0,73.95,69.15,Neutral,1.86,119.6842,Bullish,★★★★☆ →,3.65,0.0,
D,61.47,1.49,73.93,56.74,Neutral,1.75,60.589,Bullish,★★★★☆ →,3.62,0.0,
SPNT,19.79,-2.66,73.87,59.75,Neutral,2.85,19.3249,Bullish,★★★★☆ →,3.94,0.0,
IAS,10.24,-0.29,73.85,63.88,Neutral,0.26,10.2048,Neutral,★★★★☆ →,0.0,0.0,
MAR,282.89,-0.99,73.79,57.55,Neutral,2.54,278.5599,Bullish,★★★★☆ →,3.91,0.0,
JMST,50.93,0.02,73.78,65.06,Neutral,0.1,50.8833,Neutral,★★★★☆ →,0.11,0.0,
ISRG,546.71,-0.51,73.77,59.05,Neutral,2.4,537.64,Bullish,★★★★☆ →,1.46,0.0,
TS,40.21,-1.16,73.77,61.66,Neutral,2.11,39.3186,Bullish,★★★★☆ →,1.0,0.0,
RCI,38.53,0.42,73.76,58.24,Neutral,1.77,37.9998,Bullish,★★★★☆ →,1.23,0.0,
RNGTU,10.2,0.2,73.73,64.05,Neutral,0.22,10.1779,Neutral,★★★★☆ →,0.1,0.0,
FENY,24.97,-1.83,73.7,55.05,Neutral,1.72,24.7246,Neutral,★★★★☆ →,3.16,0.0,
PTNM,10.39,0.0,73.67,62.75,Neutral,0.0,10.3029,Neutral,★★★★☆ →,0.0,0.0,
QMMM,119.4,0.0,73.63,62.53,Neutral,0.0,118.1424,Bullish,★★★★☆ →,0.0,0.0,
HTHT,44.94,2.6,73.58,72.48,Overbought,3.52,41.6725,Bullish,★★★★☆ ↓,11.85,0.0,
SBS,26.14,-2.59,73.53,63.96,Neutral,2.01,25.3779,Bullish,★★★★☆ →,5.68,0.0,
DGX,186.23,-0.39,73.5,56.91,Neutral,2.32,183.0848,Bullish,★★★★☆ →,4.61,0.0,
PINC,28.19,0.0,73.5,62.97,Neutral,0.17,28.0928,Neutral,★★★★☆ →,0.14,0.0,
EOG,109.48,-0.83,73.48,55.95,Neutral,1.9,107.8265,Bullish,★★★★☆ →,4.01,0.0,
SQM,59.49,9.06,73.47,77.48,Overbought,4.75,49.7453,Bullish,★★★★☆ ↓,29.05,0.0,
VZ,41.01,-0.11,73.43,56.11,Neutral,2.03,40.3552,Bullish,★★★★☆ →,4.31,0.0,
EIX,57.77,-1.6,73.39,56.31,Neutral,2.13,57.0456,Bullish,★★★★☆ →,3.72,0.0,
DXD,21.98,2.5,73.38,56.13,Neutral,2.26,21.4137,Bullish,★★★★☆ →,2.26,0.0,
KALV,14.86,9.1,73.37,77.09,Overbought,5.04,12.0457,Bullish,★★★★☆ ↓,38.1,0.0,
CELC,92.23,-0.49,73.35,77.16,Overbought,5.07,76.6768,Bullish,★★★★☆ ↓,26.36,0.0,
PEP,147.83,1.36,73.34,55.52,Neutral,1.8,145.8405,Bullish,★★★★☆ →,3.45,0.0,
AER,132.9,-2.89,73.3,58.39,Neutral,2.6,131.0982,Bullish,★★★★☆ →,1.53,0.0,
EMLC,25.56,-0.08,73.29,60.37,Neutral,0.32,25.4609,Neutral,★★★★☆ →,1.23,0.0,
BBVA,20.77,-1.98,73.29,56.12,Neutral,2.19,20.505,Bullish,★★★★☆ →,3.75,0.0,
AON,350.02,-0.03,73.26,54.18,Neutral,2.13,346.1281,Bullish,★★★★☆ →,1.69,0.0,
FTI,42.74,-2.17,73.26,60.64,Neutral,2.78,41.684,Bullish,★★★★☆ →,2.1,0.0,
BKLN,20.94,-0.02,73.24,67.26,Neutral,0.16,20.9017,Neutral,★★★★☆ →,0.17,0.0,
MUFG,15.41,-2.37,73.2,53.62,Neutral,1.72,15.2733,Neutral,★★★★☆ →,2.29,0.0,
KMI,27.13,-1.06,73.18,56.41,Neutral,1.85,26.6923,Bullish,★★★★☆ →,4.99,0.0,
RPRX,39.16,0.0,73.14,60.18,Neutral,3.23,38.1654,Bullish,★★★★☆ →,4.06,0.0,
PGNY,26.82,9.25,73.11,79.03,Overbought,4.48,21.9219,Bullish,★★★★☆ ↓,44.43,0.0,
GSK,47.54,0.76,72.95,64.72,Neutral,1.98,46.0511,Bullish,★★★★☆ →,2.43,0.0,
DX,13.49,-0.7,72.93,57.83,Neutral,1.56,13.3949,Neutral,★★★★☆ →,1.01,0.0,
ADC,73.8,0.03,72.92,56.69,Neutral,1.47,73.3072,Neutral,★★★★☆ →,2.02,0.0,
RIO,70.5,-0.18,72.77,56.36,Neutral,1.8,69.9254,Neutral,★★★★☆ →,3.85,0.0,
TMV,35.16,-0.68,72.77,58.02,Neutral,2.07,34.2047,Bullish,★★★★☆ →,3.26,0.0,
CVE,17.96,-0.94,72.68,58.57,Neutral,2.74,17.4569,Bullish,★★★★☆ →,7.74,0.0,
INDA,54.65,0.06,72.65,56.86,Neutral,0.81,54.2214,Neutral,★★★★☆ →,1.18,0.0,
DFIV,47.26,-1.37,72.63,56.41,Neutral,0.96,46.9632,Neutral,★★★★☆ →,2.68,0.0,
EW,84.75,-1.8,72.6,63.99,Neutral,2.57,82.5317,Bullish,★★★★☆ →,0.71,0.0,
EXC,46.6,1.44,72.58,56.18,Neutral,2.13,46.0559,Bullish,★★★★☆ →,1.35,0.0,
ES,74.03,1.0,72.54,58.11,Neutral,1.92,73.1294,Bullish,★★★★☆ →,0.28,0.0,
VIV,12.88,-1.79,72.48,56.41,Neutral,2.26,12.6792,Bullish,★★★★☆ →,5.53,0.0,
GMAB,30.42,0.53,72.44,56.62,Neutral,2.42,29.8529,Bullish,★★★★☆ →,5.77,0.0,
LKSPU,10.11,0.0,72.32,59.71,Neutral,0.71,10.0893,Neutral,★★★★☆ →,0.5,0.0,
AFL,112.26,-1.82,72.32,55.47,Neutral,1.92,111.4288,Neutral,★★★★☆ →,3.17,0.0,
FR,55.71,-0.04,72.31,56.95,Neutral,1.69,55.3804,Neutral,★★★★☆ →,1.22,0.0,
XOP,131.4,-1.95,72.25,54.48,Neutral,2.36,129.6571,Bullish,★★★★☆ →,4.34,0.0,
EPRT,30.75,-0.36,72.19,54.83,Neutral,1.92,30.4636,Neutral,★★★★☆ →,3.99,0.0,
NUE,148.7,0.62,72.17,58.05,Neutral,3.12,144.841,Bullish,★★★★☆ →,3.06,0.0,
TAK,14.13,-1.12,72.15,53.82,Neutral,1.72,13.9601,Bullish,★★★★☆ →,4.2,0.0,
DE,475.94,-0.06,72.15,55.21,Neutral,2.2,470.9022,Bullish,★★★★☆ →,1.63,0.0,
