Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,BB %B,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
AAPL,Technology,267.46,-1.82,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,2.3346,3.3074,-0.9728,46.97,65.03,225.2844,277.3711,268.3859,259.4007,0.4485,,,Low,calc_error:NameError,22.5,3,New
MSFT,Technology,507.49,-0.53,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.1048,-2.8824,-0.2224,23.82,24.15,453.5601,541.2551,516.015,490.775,0.3311,,,Low,calc_error:NameError,22.5,3,New
NVDA,Technology,186.6,-1.88,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.7268,1.0864,-1.8132,26.94,32.75,142.687,209.731,193.0725,176.414,0.3057,,,Low,calc_error:NameError,22.5,3,New
AMZN,Consumer Cyclical,232.87,-0.78,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,1.7176,4.233,-2.5154,34.3,46.33,214.8351,259.3211,236.3345,213.3479,0.4246,,,Low,calc_error:NameError,22.5,3,New
META,Communication Services,602.01,-1.22,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-25.6144,-24.1936,-1.4207,6.12,7.15,652.2519,783.7382,666.9315,550.1248,0.2221,,,Low,calc_error:NameError,22.5,3,New
GOOGL,Communication Services,285.02,3.11,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,4.9039,6.6695,-1.7656,52.13,63.1,193.25,300.6457,275.32,249.9943,0.6915,,,Low,calc_error:NameError,22.5,3,New
TSLA,Consumer Cyclical,408.92,1.13,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-9.2936,-2.6569,-6.6368,19.84,19.32,341.5628,478.3149,440.8125,403.3101,0.0748,,,Low,calc_error:NameError,22.5,3,New
AMD,Technology,240.52,-2.55,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,2.1094,5.1106,-3.0012,48.2,55.39,151.2112,268.8823,248.1045,227.3267,0.3175,,,Low,calc_error:NameError,22.5,3,New
INTC,Technology,34.71,-2.28,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-0.6268,0.0534,-0.6802,8.05,12.86,25.1357,41.7971,38.234,34.6709,0.0055,,,Low,calc_error:NameError,22.5,3,New
AVGO,Technology,342.65,0.06,0.0,,N/A,,,Unknown,error,,,,No,Not expected,Not imminent,0.0,Unknown,0.0,0.0,-3.1087,0.0872,-3.1959,19.38,22.95,244.4301,381.6146,355.8815,330.1484,0.2429,,,Low,calc_error:NameError,22.5,3,New
