Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
XOM,Energy,117.61,-0.06,65.99,59.32,Neutral,1.77,115.658,Bullish,★★★★☆ →,3.94,0.0,1.69,No,Not expected,Not imminent,2.2,Increasing,0.2,3.94,1.267,1.0824,0.1845,80.93,80.55,108.001,119.6357,115.4126,111.1895,Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,117.64,Low,,6.0,3,Stable
LLY,Healthcare,1026.51,0.47,65.72,82.33,Overbought,3.41,935.5298,Bullish,★★★★☆ ↓,13.36,0.0,9.72,Possible,Likely soon,Not imminent,2.4,Increasing,1.0,13.36,48.0744,41.2616,6.8128,95.88,95.97,783.1691,1078.7818,913.221,747.6603,Strong trend; Healthy momentum; Recent high; Bullish MACD; Above VWAP; Above BB Middle,1032.6,High,,1.0,3,2
PFE,Healthcare,25.27,0.76,64.3,58.01,Neutral,2.66,24.7867,Bullish,★★★★☆ →,5.82,0.0,1.95,No,Not expected,Not imminent,1.8,Increasing,0.02,5.82,0.2674,0.1843,0.0831,51.11,60.58,23.9513,25.8251,24.5682,23.3113,Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,25.31,Low,,5.0,3,Stable
SLV,Unknown,46.01,1.2,55.25,55.8,Neutral,2.57,45.1328,Bullish,★★★☆☆ →,7.66,0.0,1.95,No,Not expected,Not imminent,1.9,Decreasing,0.03,7.66,0.566,0.4654,0.1006,54.03,64.8,34.8864,47.8227,44.5888,41.3548,Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,46.37,Low,,4.0,3,1
GDX,Unknown,75.86,1.21,51.63,53.58,Neutral,3.44,74.6347,Bullish,★★★☆☆ →,11.1,0.0,1.64,No,Not expected,Not imminent,1.9,Decreasing,0.03,11.1,0.7015,0.2657,0.4357,63.35,69.7,54.0245,78.9734,73.301,67.6286,Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,76.65,Low,,2.0,3,1
GOOGL,Communication Services,283.16,-0.65,50.81,59.87,Neutral,3.31,276.0931,Bullish,★★★☆☆ →,2.02,0.0,2.56,No,Not expected,Not imminent,2.3,Increasing,0.12,2.02,4.4667,6.2289,-1.7623,52.82,54.53,193.3373,299.6038,276.955,254.3062,Strong trend; Above VWAP; Above BB Middle,285.33,Low,,9.0,3,1
DE,Industrials,473.3,-0.56,48.36,52.82,Neutral,2.16,471.1338,Neutral,★★★☆☆ →,1.07,0.0,0.46,No,Not expected,Not imminent,1.8,Increasing,0.01,1.07,2.5577,2.8249,-0.2672,67.93,69.76,470.8662,482.7928,471.525,460.2572,Above VWAP; Above BB Middle,474.79,Low,,12.0,3,-5
ADBE,Technology,325.69,0.19,43.98,37.9,Neutral,2.12,335.5369,Bearish,★★★☆☆ →,-2.88,0.0,-2.93,No,Not expected,Not imminent,2.2,Decreasing,0.0,-2.88,-4.0974,-3.5584,-0.5389,12.81,18.99,392.6091,361.0446,338.7045,316.3644,Balanced metrics,322.21,Low,,20.5,3,3
COST,Consumer Defensive,913.65,0.12,38.81,43.66,Neutral,1.55,922.7155,Neutral,★★★☆☆ →,-2.88,0.0,-0.98,No,Not expected,Not imminent,2.1,Increasing,0.0,-2.88,-3.4546,-2.8181,-0.6364,22.3,29.68,961.2223,944.3202,923.7795,903.2388,Balanced metrics,913.63,Low,,20.5,3,3
CRM,Technology,234.68,-0.99,38.36,39.08,Neutral,3.12,245.3164,Bearish,★★★☆☆ →,-7.77,0.0,-4.34,No,Not expected,Not imminent,1.9,Decreasing,0.0,-7.77,-3.5078,-1.7494,-1.7585,14.86,22.98,276.0568,265.5587,249.0203,232.4818,Balanced metrics,232.96,Low,,31.0,3,4
SPY,Unknown,660.55,-0.77,34.98,39.56,Neutral,1.25,673.2133,Bearish,★★☆☆☆ →,-2.18,0.0,-1.88,No,Not expected,Not imminent,2.2,Increasing,0.05,-2.18,-2.2262,0.6249,-2.8511,17.96,33.18,604.8923,691.8499,676.692,661.5341,Above VWAP,662.14,Low,,18.0,,5
GLD,Unknown,374.57,0.79,32.99,52.74,Neutral,1.68,373.3487,Neutral,★★☆☆☆ →,3.38,0.0,0.33,No,Not expected,Not imminent,2.2,Decreasing,0.03,3.38,1.4104,1.5091,-0.0987,48.0,61.34,314.4612,386.1868,372.3755,358.5642,Above VWAP; Above BB Middle,377.24,Low,,7.0,,-4
QQQ,Unknown,597.01,-1.1,32.98,39.87,Neutral,1.82,612.9868,Bearish,★★☆☆☆ →,-3.59,0.0,-2.61,No,Not expected,Not imminent,2.3,Increasing,0.05,-3.59,-3.5234,0.3231,-3.8465,15.56,25.65,537.1096,639.9908,618.245,596.4992,Above VWAP,599.0,Low,,24.0,,5
CVX,Energy,152.1,-1.76,32.9,44.25,Neutral,2.04,154.6092,Bearish,★★☆☆☆ →,-0.84,0.0,-1.62,No,Not expected,Not imminent,2.3,Increasing,0.0,-0.84,-0.0452,0.1324,-0.1776,40.4,47.99,148.4579,157.9752,154.841,151.7068,Above VWAP,152.03,Low,,15.0,,-5
WMT,Consumer Defensive,102.86,-0.09,32.49,48.52,Neutral,1.54,103.0483,Neutral,★★☆☆☆ →,0.57,0.0,-0.19,No,Not expected,Not imminent,2.4,Decreasing,0.03,0.57,-0.2087,-0.336,0.1273,75.92,63.59,95.4436,106.6007,103.1702,99.7398,Bullish MACD; Bullish Stochastic; Above VWAP,103.25,Low,,13.0,,-2
MSFT,Technology,495.94,-2.28,32.26,38.45,Neutral,2.23,510.5914,Bearish,★★☆☆☆ →,-3.58,0.0,-2.87,No,Not expected,Not imminent,2.1,Increasing,0.05,-3.58,-4.14,-3.1339,-1.0061,20.43,22.99,453.5929,541.6941,514.929,488.1638,Above VWAP,497.6,Low,,23.0,,1
IWM,Unknown,232.13,-0.27,32.04,35.11,Neutral,1.83,241.1117,Bearish,★★☆☆☆ →,-3.76,0.0,-3.72,No,Not expected,Not imminent,2.0,Increasing,0.03,-3.76,-2.945,-1.4469,-1.4981,11.47,16.06,219.8573,253.1562,243.0362,232.9163,Above VWAP,232.25,Low,,25.0,,New
AAPL,Technology,266.9,-0.21,32.01,53.56,Neutral,2.05,267.2587,Neutral,★★☆☆☆ →,-1.07,0.0,-0.13,No,Not expected,Not imminent,2.5,Increasing,0.12,-1.07,1.6594,2.9778,-1.3184,27.88,47.82,225.3018,277.1924,268.605,260.0177,Above VWAP,267.7,Low,,16.0,,-3
NFLX,Communication Services,111.67,1.25,31.13,45.21,Neutral,2.63,112.8573,Bearish,★★☆☆☆ →,2.17,0.0,-1.05,No,Not expected,Not imminent,2.4,Decreasing,0.01,2.17,-0.5198,-0.8923,0.3724,39.61,55.27,106.7712,114.9533,111.1109,107.2685,Bullish MACD; Above VWAP; Above BB Middle,112.21,Low,,8.0,,-9
UBER,Technology,91.41,-0.76,30.6,41.76,Neutral,3.28,93.5685,Bearish,★★☆☆☆ →,-3.44,0.0,-2.31,No,Not expected,Not imminent,1.9,Increasing,0.02,-3.44,-0.8768,-0.6129,-0.2639,19.51,20.68,80.3472,98.4119,94.0465,89.6811,Above VWAP,91.85,Low,,22.0,,New
CAT,Industrials,545.27,-1.23,29.96,51.33,Neutral,3.23,550.0414,Neutral,★★☆☆☆ →,-0.42,0.0,-0.87,No,Not expected,Not imminent,2.3,Increasing,0.05,-0.42,3.3109,9.3026,-5.9918,23.84,37.05,394.5646,599.2437,554.5741,509.9046,Above VWAP,548.6,Low,,14.0,,-2
ENPH,Technology,27.58,0.18,29.73,34.35,Neutral,6.6,31.2391,Bearish,★★☆☆☆ →,-4.93,0.0,-11.71,No,Not expected,Not imminent,1.7,Increasing,0.0,-4.93,-1.582,-1.3643,-0.2177,5.06,6.37,44.4333,37.7685,31.622,25.4755,Balanced metrics,26.88,High,,26.0,,-
CRWD,Technology,522.42,-1.39,29.21,48.83,Neutral,3.35,530.5529,Bearish,★★☆☆☆ →,-2.15,0.0,-1.53,No,Not expected,Not imminent,2.0,Increasing,0.11,-2.15,2.0241,7.0601,-5.036,36.07,39.03,418.8045,563.042,536.2603,509.4785,Above VWAP,526.01,Low,,17.0,,-3
