Symbol,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,notes
DFIV,47.91,0.04,79.01,67.42,Neutral,0.88,46.9325,Bullish,★★★★☆ →,3.37,0.0,
AMX,23.22,-0.17,77.67,62.69,Neutral,2.15,22.7752,Bullish,★★★★☆ →,2.65,0.0,
AKRO,54.25,0.09,77.42,68.11,Neutral,0.38,53.5522,Bullish,★★★★☆ →,0.3,0.0,
IAS,10.27,0.1,77.0,69.36,Neutral,0.24,10.2011,Neutral,★★★★☆ →,0.49,0.0,
EFV,70.26,-0.31,76.67,63.86,Neutral,0.84,69.1969,Bullish,★★★★☆ →,2.66,0.0,
UGI,34.89,0.14,76.66,69.12,Neutral,1.67,33.9766,Bullish,★★★★☆ →,3.53,0.0,
EWH,22.77,-0.52,76.59,64.26,Neutral,1.3,22.1492,Bullish,★★★★☆ →,3.5,0.0,
GSK,47.18,-1.14,76.35,62.97,Neutral,2.08,45.8943,Bullish,★★★★☆ →,2.68,0.0,
ED,101.66,0.7,76.28,59.9,Neutral,1.9,99.3254,Bullish,★★★★☆ →,5.19,0.0,
FENY,25.43,1.64,76.24,63.88,Neutral,1.6,24.6993,Bullish,★★★★☆ →,3.84,0.0,
AAPL,272.41,-0.2,76.21,65.09,Neutral,1.88,267.2795,Bullish,★★★★☆ →,1.35,0.0,
KO,71.24,0.11,76.2,62.72,Neutral,1.47,69.8727,Bullish,★★★★☆ →,3.76,0.0,
HSBC,72.56,-0.82,76.15,65.57,Neutral,1.69,70.4536,Bullish,★★★★☆ →,3.7,0.0,
AEP,121.3,-0.15,76.08,62.82,Neutral,1.85,119.2594,Bullish,★★★★☆ →,1.95,0.0,
DX,13.59,-0.44,76.08,61.93,Neutral,1.54,13.3844,Bullish,★★★★☆ →,2.33,0.0,
DHR,221.21,0.0,76.03,63.55,Neutral,2.3,214.5522,Bullish,★★★★☆ →,3.34,0.0,
EPD,32.26,1.57,75.96,71.4,Overbought,1.67,31.0755,Bullish,★★★★☆ ↓,5.56,0.0,
ARR,16.69,0.85,75.95,61.49,Neutral,1.81,16.3555,Bullish,★★★★☆ →,2.14,0.0,
CNP,39.74,0.4,75.94,58.51,Neutral,1.45,39.3134,Bullish,★★★★☆ →,3.44,0.0,
BUD,63.83,-1.16,75.9,62.55,Neutral,1.7,62.5774,Bullish,★★★★☆ →,4.38,0.0,
MFC,34.2,-0.47,75.88,68.43,Neutral,1.85,33.2489,Bullish,★★★★☆ →,4.11,0.0,
TMO,576.24,-0.43,75.84,63.39,Neutral,2.38,566.1676,Bullish,★★★★☆ →,1.95,0.0,
CME,285.04,0.53,75.8,72.64,Overbought,1.97,273.1839,Bullish,★★★★☆ ↓,7.9,0.0,
PRU,107.1,-0.06,75.79,62.09,Neutral,1.71,105.2097,Bullish,★★★★☆ →,1.96,0.0,
TJX,146.34,0.17,75.77,60.85,Neutral,1.61,144.0468,Bullish,★★★★☆ →,3.31,0.0,
VALE,12.31,0.08,75.62,65.02,Neutral,1.98,11.9939,Bullish,★★★★☆ →,3.1,0.0,
EA,201.06,-0.14,75.61,65.9,Neutral,0.35,200.0304,Neutral,★★★★☆ →,0.59,0.0,
ABT,130.59,1.03,75.48,59.58,Neutral,1.56,127.5648,Bullish,★★★★☆ →,5.45,0.0,
ILF,30.53,0.23,75.41,65.44,Neutral,1.51,29.713,Bullish,★★★★☆ →,3.32,0.0,
FNDE,37.43,0.05,75.2,60.1,Neutral,0.98,37.0263,Bullish,★★★★☆ →,1.16,0.0,
BSX,102.69,-2.18,75.2,56.9,Neutral,1.87,101.0214,Bullish,★★★★☆ →,4.16,0.0,
PAA,16.96,0.12,75.18,62.82,Neutral,1.92,16.5372,Bullish,★★★★☆ →,3.23,0.0,
GPCR,36.82,5.2,75.14,70.97,Overbought,5.34,32.3169,Bullish,★★★★☆ ↓,12.39,0.0,
COR,361.94,-0.8,75.09,75.4,Overbought,2.47,346.8641,Bullish,★★★★☆ ↓,6.34,0.0,
WRB,77.37,0.48,75.06,64.19,Neutral,1.6,75.3309,Bullish,★★★★☆ →,4.48,0.0,
IQV,219.74,-0.39,75.06,61.83,Neutral,2.53,214.8122,Bullish,★★★★☆ →,4.16,0.0,
APG,37.35,-0.48,75.02,59.88,Neutral,3.02,36.223,Bullish,★★★★☆ →,4.39,0.0,
BIIB,167.55,1.71,75.01,73.91,Overbought,3.38,155.0677,Bullish,★★★★☆ ↓,10.64,0.0,
BG,96.01,-0.92,74.98,61.49,Neutral,2.58,94.3011,Bullish,★★★★☆ →,2.12,0.0,
PMT,12.46,0.4,74.97,59.16,Neutral,1.91,12.2369,Bullish,★★★★☆ →,3.49,0.0,
DOV,183.12,0.63,74.96,62.5,Neutral,1.98,178.5915,Bullish,★★★★☆ →,2.78,0.0,
PAGP,17.81,-0.28,74.9,59.76,Neutral,1.76,17.4495,Bullish,★★★★☆ →,2.71,0.0,
CMI,462.61,-1.04,74.84,59.44,Neutral,3.3,449.4517,Bullish,★★★★☆ →,5.69,0.0,
COWZ,58.6,-0.03,74.79,58.51,Neutral,1.13,58.002,Bullish,★★★★☆ →,1.21,0.0,
GLUE,14.36,0.28,74.77,72.43,Overbought,7.05,12.4411,Bullish,★★★★☆ ↓,18.97,0.0,
NWG,15.85,-0.06,74.7,58.69,Neutral,1.57,15.6115,Bullish,★★★★☆ →,4.0,0.0,
ET,17.01,2.29,74.67,61.37,Neutral,1.8,16.5872,Bullish,★★★★☆ →,3.1,0.0,
XLE,91.64,-0.41,74.66,62.78,Neutral,1.61,89.3562,Bullish,★★★★☆ →,5.1,0.0,
WES,39.01,0.83,74.66,59.19,Neutral,1.97,38.2905,Bullish,★★★★☆ →,4.47,0.0,
TRV,287.77,0.17,74.65,68.49,Neutral,1.67,278.8991,Bullish,★★★★☆ →,3.78,0.0,
DB,36.93,-2.56,74.64,56.28,Neutral,2.38,36.3222,Bullish,★★★★☆ →,2.1,0.0,
MTG,28.21,0.07,74.56,58.47,Neutral,1.93,27.7518,Bullish,★★★★☆ →,2.46,0.0,
AL,63.9,0.0,74.55,65.8,Neutral,0.24,63.7394,Neutral,★★★★☆ →,0.06,0.0,
SHEL,75.44,-0.42,74.46,58.05,Neutral,1.37,74.4845,Bullish,★★★★☆ →,3.28,0.0,
RDN,35.24,-0.09,74.46,58.62,Neutral,2.3,34.6534,Bullish,★★★★☆ →,2.71,0.0,
SCHD,27.22,-0.09,74.46,58.96,Neutral,1.0,26.9533,Neutral,★★★★☆ →,2.93,0.0,
CADE,38.41,0.1,74.42,55.12,Neutral,2.13,37.8901,Bullish,★★★★☆ →,2.21,0.0,
DAY,69.0,0.13,74.39,63.19,Neutral,0.4,68.6367,Neutral,★★★★☆ →,0.45,0.0,
EMLC,25.58,-0.16,74.38,62.16,Neutral,0.32,25.4505,Neutral,★★★★☆ →,0.83,0.0,
EWZ,33.18,0.61,74.38,70.87,Overbought,1.51,31.8194,Bullish,★★★★☆ ↓,5.27,0.0,
TFC,44.89,0.07,74.37,57.79,Neutral,1.84,44.1884,Bullish,★★★★☆ →,3.84,0.0,
EOG,110.4,1.06,74.34,60.68,Neutral,1.8,107.6525,Bullish,★★★★☆ →,4.51,0.0,
MUFG,15.57,-1.39,74.32,57.54,Neutral,1.63,15.2881,Bullish,★★★★☆ →,3.32,0.0,
IHI,62.31,-1.03,74.32,57.75,Neutral,1.31,61.5047,Bullish,★★★★☆ →,2.58,0.0,
AKR,20.17,0.6,74.31,58.13,Neutral,2.34,19.8189,Bullish,★★★★☆ →,3.22,0.0,
EWTX,22.75,11.41,74.28,74.18,Overbought,6.82,18.287,Bullish,★★★★☆ ↓,26.6,0.0,
VYMI,87.04,-0.59,74.25,59.11,Neutral,0.8,86.3054,Neutral,★★★★☆ →,2.71,0.0,
CVX,157.62,1.31,74.21,57.07,Neutral,1.88,154.8789,Bullish,★★★★☆ →,2.32,0.0,
VRTX,436.17,-0.22,74.2,64.36,Neutral,2.68,423.7821,Bullish,★★★★☆ →,3.44,0.0,
XOM,119.0,-0.25,74.19,64.94,Neutral,1.71,115.5778,Bullish,★★★★☆ →,5.17,0.0,
DTM,115.94,2.33,74.18,64.08,Neutral,2.45,111.8802,Bullish,★★★★☆ →,3.26,0.0,
FSK,15.59,0.06,74.1,57.83,Neutral,2.24,15.2799,Bullish,★★★★☆ →,3.18,0.0,
NLY,21.76,0.51,74.08,58.97,Neutral,1.6,21.4424,Bullish,★★★★☆ →,1.16,0.0,
MAR,286.31,0.21,74.02,61.71,Neutral,2.38,278.8856,Bullish,★★★★☆ →,5.17,0.0,
F,13.19,-0.68,74.0,59.35,Neutral,2.01,12.8804,Bullish,★★★★☆ →,2.56,0.0,
PFG,83.95,-0.62,73.99,57.42,Neutral,1.87,82.8756,Bullish,★★★★☆ →,2.3,0.0,
RIO,70.81,0.25,73.99,58.0,Neutral,1.71,69.9544,Bullish,★★★★☆ →,4.3,0.0,
AM,18.16,1.34,73.99,57.2,Neutral,2.09,17.8188,Bullish,★★★★☆ →,3.95,0.0,
CRC,48.83,-0.1,73.98,53.8,Neutral,3.07,47.9042,Bullish,★★★★☆ →,3.54,0.0,
AEE,105.02,0.24,73.97,57.38,Neutral,1.51,103.858,Bullish,★★★★☆ →,3.43,0.0,
CSCO,78.0,0.8,73.97,72.8,Overbought,2.55,72.6403,Bullish,★★★★☆ ↓,4.77,0.0,
KIE,59.04,-0.15,73.91,59.31,Neutral,1.39,58.0361,Bullish,★★★★☆ →,5.41,0.0,
DGX,186.95,-0.34,73.89,58.47,Neutral,2.29,182.7538,Bullish,★★★★☆ →,4.53,0.0,
SNY,51.92,-0.42,73.88,61.29,Neutral,1.54,50.6985,Bullish,★★★★☆ →,5.72,0.0,
RWM,17.24,0.44,73.88,61.08,Neutral,1.69,16.7976,Bullish,★★★★☆ →,2.1,0.0,
EUFN,34.65,-1.34,73.85,57.3,Neutral,1.1,34.2809,Bullish,★★★★☆ →,2.48,0.0,
DFIC,33.38,-0.16,73.84,57.32,Neutral,0.87,33.1103,Neutral,★★★★☆ →,1.4,0.0,
MMM,167.18,-0.24,73.83,57.74,Neutral,2.22,164.6785,Bullish,★★★★☆ →,4.55,0.0,
NEE,84.26,0.45,73.79,57.22,Neutral,1.84,83.3714,Bullish,★★★★☆ →,3.15,0.0,
VZ,41.11,0.13,73.76,57.08,Neutral,1.98,40.3646,Bullish,★★★★☆ →,4.56,0.0,
COP,91.37,2.18,73.75,56.43,Neutral,2.24,89.0007,Bullish,★★★★☆ →,3.16,0.0,
