Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
XOM,Energy,117.68,-1.35,73.87,59.6,Neutral,1.82,115.4526,Bullish,★★★★☆ →,4.35,0.0,1.93,No,Not expected,Not imminent,2.2,Increasing,0.25,4.35,1.5335,1.1408,0.3927,Bullish MACD,118.7,Low,,3.0,3,New
DE,Industrials,475.98,-0.05,69.16,55.25,Neutral,2.2,470.9058,Bullish,★★★★☆ →,3.04,0.0,1.08,No,Not expected,Not imminent,1.8,Increasing,0.01,3.04,3.3079,2.4798,0.8282,Bullish MACD,478.87,Low,,7.0,3,New
PFE,Healthcare,25.08,0.08,68.44,55.82,Neutral,2.69,24.7358,Bullish,★★★★☆ →,3.49,0.0,1.39,No,Not expected,Not imminent,1.8,Increasing,0.02,3.49,0.2406,0.1135,0.127,Bullish MACD,25.26,Low,,6.0,3,New
LLY,Healthcare,1021.7,-0.35,67.16,81.88,Overbought,3.45,925.9529,Bullish,★★★★☆ ↓,14.13,0.0,10.34,Possible,Likely soon,Not imminent,2.4,Increasing,0.25,14.13,57.1241,44.4513,12.6728,Strong trend; Healthy momentum; Bullish MACD,1050.57,High,,1.0,3,New
SLV,Unknown,45.47,-1.07,59.33,53.72,Neutral,2.7,45.0399,Neutral,★★★☆☆ →,3.91,0.0,0.95,No,Not expected,Not imminent,1.9,Decreasing,0.03,3.91,0.8379,0.7352,0.1027,Bullish MACD,45.83,Low,,5.0,3,New
GDX,Unknown,74.95,-1.59,56.62,51.69,Neutral,3.57,74.5058,Neutral,★★★☆☆ →,5.12,0.0,0.6,No,Not expected,Not imminent,1.9,Decreasing,0.03,5.12,0.6262,0.2278,0.3984,Healthy momentum; Bullish MACD,75.72,Low,,2.0,3,New
CVX,Energy,154.82,-1.78,51.81,49.99,Neutral,1.97,154.8733,Neutral,★★★☆☆ →,0.51,0.0,-0.03,No,Not expected,Not imminent,2.3,Increasing,0.0,0.51,0.2407,0.0458,0.1949,Bullish MACD,154.98,Low,,10.0,3,New
COST,Consumer Defensive,912.59,-1.13,50.61,43.02,Neutral,1.59,923.6698,Bearish,★★★☆☆ →,-1.66,0.0,-1.2,No,Not expected,Not imminent,2.1,Increasing,0.0,-1.66,-4.2956,-3.8705,-0.4251,Balanced metrics,909.56,Low,,16.0,3,New
AAPL,Technology,267.46,-1.82,50.58,54.62,Neutral,2.05,267.2967,Neutral,★★★☆☆ →,-0.49,0.0,0.06,No,Not expected,Not imminent,2.5,Decreasing,0.14,-0.49,4.6339,5.3342,-0.7002,Balanced metrics,267.2,Low,,14.0,3,New
WMT,Consumer Defensive,102.95,0.46,49.68,49.03,Neutral,1.58,103.0686,Neutral,★★★☆☆ →,1.34,0.0,-0.12,No,Not expected,Not imminent,2.4,Decreasing,0.03,1.34,-0.2787,-0.235,-0.0438,Balanced metrics,103.23,Low,,8.0,3,New
SPY,Unknown,665.67,-0.93,48.99,43.21,Neutral,1.26,674.5463,Bearish,★★★☆☆ →,-2.59,0.0,-1.32,No,Not expected,Not imminent,2.2,Increasing,0.05,-2.59,1.5257,3.4124,-1.8867,Balanced metrics,662.22,Low,,18.0,,New
MSFT,Technology,507.49,-0.53,48.78,45.55,Neutral,2.14,512.1338,Neutral,★★★☆☆ →,-1.85,0.0,-0.91,No,Not expected,Not imminent,2.1,Increasing,0.05,-1.85,-3.0868,-1.9971,-1.0896,Balanced metrics,505.61,Low,,17.0,,New
GLD,Unknown,371.65,-1.15,48.22,50.49,Neutral,1.78,373.2202,Neutral,★★★☆☆ →,0.78,0.0,-0.42,No,Not expected,Not imminent,2.2,Decreasing,0.03,0.78,3.4714,3.8553,-0.384,Balanced metrics,372.23,Low,,9.0,,New
GOOGL,Communication Services,285.02,3.11,48.06,61.72,Neutral,3.32,275.3493,Bullish,★★★☆☆ →,0.46,0.0,3.51,No,Not expected,Not imminent,2.3,Increasing,0.14,0.46,8.8515,9.7858,-0.9343,Strong trend,285.28,Low,,11.0,,New
ADBE,Technology,325.07,-1.82,47.49,37.18,Neutral,2.56,336.5734,Bearish,★★★☆☆ →,-3.67,0.0,-3.42,No,Not expected,Not imminent,2.2,Decreasing,0.0,-3.67,-4.887,-4.1695,-0.7175,Balanced metrics,322.68,Low,,20.0,,New
CAT,Industrials,552.05,-0.36,46.81,54.37,Neutral,3.99,550.5433,Neutral,★★★☆☆ →,-3.25,0.0,0.27,No,Not expected,Not imminent,2.3,Increasing,0.05,-3.25,14.8396,19.2303,-4.3907,Balanced metrics,548.46,Low,,19.0,,New
QQQ,Unknown,603.66,-0.85,46.56,43.53,Neutral,1.79,614.6686,Bearish,★★★☆☆ →,-4.5,0.0,-1.79,No,Not expected,Not imminent,2.3,Increasing,0.05,-4.5,1.3911,4.4016,-3.0106,Balanced metrics,598.23,Low,,22.0,,New
NFLX,Communication Services,110.29,-0.83,45.11,41.54,Neutral,2.58,112.9823,Bearish,★★★☆☆ →,0.26,0.0,-2.38,No,Not expected,Not imminent,2.4,Decreasing,0.01,0.26,-1.4186,-1.8556,0.437,Bullish MACD,110.35,Low,,13.0,,New
CRWD,Technology,529.78,-1.45,43.63,52.04,Neutral,3.37,531.4085,Neutral,★★★☆☆ →,-4.01,0.0,-0.31,No,Not expected,Not imminent,2.0,Increasing,0.12,-4.01,11.0349,14.1559,-3.121,Balanced metrics,525.53,Low,,21.0,,New
NKE,Consumer Cyclical,62.9,-1.98,43.49,41.36,Neutral,2.99,64.6667,Bearish,★★★☆☆ →,0.4,0.0,-2.73,No,Not expected,Not imminent,1.5,Increasing,0.0,0.4,-1.51,-1.7831,0.2732,Bullish MACD,62.95,Low,,12.0,,New
UBER,Technology,92.11,0.53,39.79,43.63,Neutral,3.29,93.7957,Bearish,★★★☆☆ →,-7.63,0.0,-1.8,No,Not expected,Not imminent,1.9,Increasing,0.02,-7.63,-0.8291,-0.5452,-0.284,Balanced metrics,90.7,Low,,31.0,,-
FSLR,Technology,253.54,0.18,39.27,52.53,Neutral,5.65,253.839,Neutral,★★★☆☆ →,-4.58,0.0,-0.12,No,Not expected,Not imminent,1.6,Increasing,0.08,-4.58,8.326,10.3014,-1.9753,Balanced metrics,251.22,High,,23.0,,-
QCOM,Technology,166.75,-4.16,37.92,43.99,Neutral,3.68,172.9057,Bearish,★★★☆☆ →,-7.73,0.0,-3.56,No,Not expected,Not imminent,2.1,Decreasing,0.05,-7.73,1.074,2.1833,-1.1093,Balanced metrics,164.17,Low,,32.0,,-
CRM,Technology,237.03,-2.72,37.85,40.8,Neutral,3.14,246.4366,Bearish,★★★☆☆ →,-9.3,0.0,-3.82,No,Not expected,Not imminent,1.9,Decreasing,0.0,-9.3,-2.0132,-0.3239,-1.6893,Balanced metrics,232.62,Low,,34.0,,-
AVGO,Technology,342.65,0.06,37.61,45.36,Neutral,4.16,351.7877,Bearish,★★★☆☆ →,-5.49,0.0,-2.6,No,Not expected,Not imminent,2.1,Increasing,0.05,-5.49,-0.0835,3.1175,-3.2011,Balanced metrics,338.89,Low,,26.0,,-
MRNA,Healthcare,24.76,-0.04,36.47,45.55,Neutral,6.78,25.5272,Bearish,★★☆☆☆ →,-0.6,0.0,-3.01,No,Not expected,Not imminent,1.8,Increasing,0.0,-0.6,-0.3717,-0.3374,-0.0343,Balanced metrics,24.73,High,,15.0,,-
IWM,Unknown,232.76,-1.99,35.9,35.76,Neutral,1.97,242.0566,Bearish,★★☆☆☆ →,-5.17,0.0,-3.84,No,Not expected,Not imminent,2.0,Increasing,0.03,-5.17,-1.6572,-0.2759,-1.3813,Balanced metrics,230.35,Low,,24.0,,-
PANW,Technology,202.9,-1.14,35.68,38.89,Neutral,2.81,211.4335,Bearish,★★☆☆☆ →,-7.45,0.0,-4.04,No,Not expected,Not imminent,2.1,Increasing,0.05,-7.45,-0.6363,1.3608,-1.997,Balanced metrics,199.88,Low,,30.0,,-
AMD,Technology,240.52,-2.55,35.53,51.98,Neutral,5.91,241.7905,Neutral,★★☆☆☆ →,-7.37,0.0,-0.53,No,Not expected,Not imminent,2.0,Increasing,0.05,-7.37,8.4189,11.9043,-3.4854,Balanced metrics,236.97,High,,29.0,,-
AMZN,Consumer Cyclical,232.87,-0.78,31.73,48.26,Neutral,3.62,236.632,Bearish,★★☆☆☆ →,-8.32,0.0,-1.59,No,Not expected,Not imminent,1.9,Increasing,0.07,-8.32,4.0206,5.1152,-1.0946,Balanced metrics,229.0,Low,,33.0,,-
NVDA,Technology,186.6,-1.88,30.77,46.4,Neutral,4.59,191.4464,Bearish,★★☆☆☆ →,-9.8,0.0,-2.53,No,Not expected,Not imminent,1.9,Increasing,0.05,-9.8,1.0895,2.6335,-1.544,Balanced metrics,182.94,Low,,35.0,,-
ENPH,Technology,27.53,-4.01,29.13,34.13,Neutral,8.0,31.6243,Bearish,★★☆☆☆ →,-6.71,0.0,-12.95,No,Not expected,Not imminent,1.7,Increasing,0.0,-6.71,-1.8869,-1.5976,-0.2893,Balanced metrics,27.16,High,,28.0,,-
INTC,Technology,34.71,-2.28,28.66,40.67,Neutral,4.64,37.2468,Bearish,★★☆☆☆ →,-12.13,0.0,-6.81,No,Not expected,Not imminent,1.9,Decreasing,0.05,-12.13,0.1734,0.9278,-0.7544,Balanced metrics,33.87,Low,,36.0,,-
ZS,Technology,294.92,-1.51,26.13,38.16,Neutral,3.8,314.8135,Bearish,★★☆☆☆ →,-12.3,0.0,-6.32,No,Not expected,Not imminent,2.2,Increasing,0.07,-12.3,0.3538,4.6636,-4.3098,Balanced metrics,287.66,Low,,37.0,,-
SEDG,Technology,34.27,-5.28,24.6,43.87,Neutral,12.56,38.1072,Bearish,★★☆☆☆ →,4.26,0.0,-10.07,No,Not expected,Not imminent,2.2,Increasing,0.12,4.26,0.3658,0.772,-0.4062,Balanced metrics,34.56,High,,4.0,,-
SHOP,Technology,139.93,-4.18,23.94,32.66,Neutral,5.86,157.3636,Bearish,★★☆☆☆ →,-19.09,0.0,-11.08,No,Not expected,Not imminent,2.1,Increasing,0.05,-19.09,-3.2048,0.2239,-3.4286,Balanced metrics,134.59,High,,40.0,,-
PLTR,Technology,171.25,-1.59,22.67,42.24,Neutral,6.54,182.9825,Bearish,★★☆☆☆ →,-17.34,0.0,-6.41,No,Not expected,Not imminent,2.3,Increasing,0.07,-17.34,-1.1105,1.548,-2.6585,Balanced metrics,165.31,High,,39.0,,-
