Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
XOM,Energy,117.68,-1.35,69.38,59.6,Neutral,1.82,115.4526,Bullish,★★★★☆ →,4.35,0.0,1.93,No,Not expected,Not imminent,2.2,Increasing,0.25,4.35,1.3671,1.0363,0.3308,81.54,79.22,107.9983,Bullish MACD; Bullish Stochastic; Above VWAP,118.7,Low,,3.0,3,New
DE,Industrials,475.98,-0.05,66.29,55.25,Neutral,2.2,470.9058,Bullish,★★★★☆ →,3.04,0.0,1.08,No,Not expected,Not imminent,1.8,Increasing,0.01,3.04,3.0533,2.8916,0.1617,68.05,72.76,470.8657,Bullish MACD; Above VWAP,478.87,Low,,7.0,3,New
PFE,Healthcare,25.08,0.08,65.63,55.82,Neutral,2.69,24.7358,Bullish,★★★★☆ →,3.49,0.0,1.39,No,Not expected,Not imminent,1.8,Increasing,0.02,3.49,0.2745,0.1635,0.111,57.42,73.68,23.9509,Bullish MACD; Above VWAP,25.26,Low,,6.0,3,New
LLY,Healthcare,1021.7,-0.35,63.42,81.88,Overbought,3.45,925.9529,Bullish,★★★★☆ ↓,14.13,0.0,10.34,Possible,Likely soon,Not imminent,2.4,Increasing,0.25,14.13,49.1875,39.5584,9.6291,95.5,95.95,783.0585,Strong trend; Healthy momentum; Bullish MACD; Above VWAP,1050.57,High,,1.0,3,New
SLV,Unknown,45.47,-1.07,57.74,53.72,Neutral,2.7,45.0399,Neutral,★★★☆☆ →,3.91,0.0,0.95,No,Not expected,Not imminent,1.9,Decreasing,0.03,3.91,0.6129,0.4402,0.1726,62.39,77.42,34.8794,Bullish MACD; Above VWAP,45.83,Low,,5.0,3,New
GDX,Unknown,74.95,-1.59,55.51,51.69,Neutral,3.57,74.5058,Neutral,★★★☆☆ →,5.12,0.0,0.6,No,Not expected,Not imminent,1.9,Decreasing,0.03,5.12,0.7237,0.1568,0.5669,66.77,78.35,54.0097,Healthy momentum; Bullish MACD; Above VWAP,75.72,Low,,2.0,3,New
GOOGL,Communication Services,285.02,3.11,48.16,61.72,Neutral,3.32,275.3493,Bullish,★★★☆☆ →,0.46,0.0,3.51,No,Not expected,Not imminent,2.3,Increasing,0.14,0.46,4.9039,6.6695,-1.7656,52.13,63.1,193.25,Strong trend; Above VWAP,285.28,Low,,11.0,3,New
GLD,Unknown,371.65,-1.15,47.36,50.49,Neutral,1.78,373.2202,Neutral,★★★☆☆ →,0.78,0.0,-0.42,No,Not expected,Not imminent,2.2,Decreasing,0.03,0.78,1.7217,1.5338,0.188,58.63,74.78,314.4333,Bullish MACD; Above VWAP,372.23,Low,,9.0,3,New
CVX,Energy,154.82,-1.78,44.83,49.99,Neutral,1.97,154.8733,Neutral,★★★☆☆ →,0.51,0.0,-0.03,No,Not expected,Not imminent,2.3,Increasing,0.0,0.51,0.345,0.1768,0.1682,55.31,48.4,148.4569,Bullish MACD; Bullish Stochastic; Above VWAP,154.98,Low,,10.0,3,New
NFLX,Communication Services,110.29,-0.83,43.82,41.54,Neutral,2.58,112.9823,Bearish,★★★☆☆ →,0.26,0.0,-2.38,No,Not expected,Not imminent,2.4,Decreasing,0.01,0.26,-0.527,-0.9854,0.4584,52.93,72.55,106.7695,Bullish MACD; Above VWAP,110.35,Low,,13.0,3,New
ADBE,Technology,325.07,-1.82,43.37,37.18,Neutral,2.56,336.5734,Bearish,★★★☆☆ →,-3.67,0.0,-3.42,No,Not expected,Not imminent,2.2,Decreasing,0.0,-3.67,-3.863,-3.4237,-0.4393,17.38,24.22,392.6289,Balanced metrics,322.68,Low,,20.0,,New
COST,Consumer Defensive,912.59,-1.13,41.25,43.02,Neutral,1.59,923.6698,Bearish,★★★☆☆ →,-1.66,0.0,-1.2,No,Not expected,Not imminent,2.1,Increasing,0.0,-1.66,-3.1391,-2.659,-0.4801,32.74,30.86,961.2384,Balanced metrics,909.56,Low,,16.0,,New
WMT,Consumer Defensive,102.95,0.46,40.8,49.03,Neutral,1.58,103.0686,Neutral,★★★☆☆ →,1.34,0.0,-0.12,No,Not expected,Not imminent,2.4,Decreasing,0.03,1.34,-0.2474,-0.3678,0.1204,62.9,53.02,95.4417,Bullish MACD; Bullish Stochastic; Above VWAP,103.23,Low,,8.0,,New
CRM,Technology,237.03,-2.72,36.99,40.8,Neutral,3.14,246.4366,Bearish,★★☆☆☆ →,-9.3,0.0,-3.82,No,Not expected,Not imminent,1.9,Decreasing,0.0,-9.3,-2.8861,-1.3098,-1.5763,21.56,29.2,276.0694,Balanced metrics,232.62,Low,,34.0,,New
AAPL,Technology,267.46,-1.82,36.86,54.62,Neutral,2.05,267.2967,Neutral,★★☆☆☆ →,-0.49,0.0,0.06,No,Not expected,Not imminent,2.5,Decreasing,0.14,-0.49,2.3346,3.3074,-0.9728,46.97,65.03,225.2844,Above VWAP,267.2,Low,,14.0,,New
SPY,Unknown,665.67,-0.93,36.45,43.21,Neutral,1.26,674.5463,Bearish,★★☆☆☆ →,-2.59,0.0,-1.32,No,Not expected,Not imminent,2.2,Increasing,0.05,-2.59,-0.8123,1.3376,-2.1499,30.43,48.56,604.8457,Above VWAP,662.22,Low,,18.0,,New
