Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,MACD,MACD Signal,MACD Hist,Stoch %K,Stoch %D,VWAP,BB Upper,BB Middle,BB Lower,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
LLY,Healthcare,1034.57,1.26,72.82,83.05,Overbought,3.43,936.2974,Bullish,★★★★☆ ↓,14.25,0.0,10.5,Possible,Likely soon,Imminent,2.4,Increasing,1.0,14.25,48.9699,41.4407,7.5292,96.11,96.05,783.6594,1080.3808,913.624,746.8673,Strong trend; Healthy momentum; Recent high; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,1034.24,High,,1.0,3,New
XOM,Energy,119.29,1.37,67.92,63.56,Neutral,1.85,115.818,Bullish,★★★★☆ →,5.43,0.0,3.0,No,Not expected,Not imminent,2.1,Increasing,0.2,5.43,1.4536,1.1198,0.3338,87.74,82.81,108.0209,119.9635,115.4966,111.0297,Strong trend; Healthy momentum; Bullish MACD; Bullish Stochastic; Above VWAP; Above BB Middle,119.27,Low,,6.0,3,New
PFE,Healthcare,25.43,1.42,64.53,59.75,Neutral,2.69,24.8024,Bullish,★★★★☆ →,6.51,0.0,2.55,No,Not expected,Not imminent,1.8,Increasing,0.02,6.51,0.2857,0.1879,0.0978,53.12,61.25,23.9562,25.8547,24.5765,23.2982,Strong trend; Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,25.51,Low,,5.0,3,New
SLV,Unknown,46.17,1.55,55.11,56.38,Neutral,2.62,45.148,Bullish,★★★☆☆ →,8.04,0.0,2.27,No,Not expected,Not imminent,1.9,Decreasing,0.03,8.04,0.5838,0.469,0.1148,54.89,65.09,34.9148,47.8463,44.5968,41.3472,Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,46.4,Low,,4.0,3,New
GDX,Unknown,76.0,1.4,51.81,53.86,Neutral,3.5,74.6481,Bullish,★★★☆☆ →,11.31,0.0,1.81,No,Not expected,Not imminent,1.9,Decreasing,0.03,11.31,0.717,0.2688,0.4482,63.75,69.83,54.0901,78.994,73.308,67.622,Healthy momentum; Bullish MACD; Above VWAP; Above BB Middle,76.56,Low,,3.0,3,New
GOOGL,Communication Services,286.91,0.66,51.1,62.89,Neutral,3.37,276.4503,Bullish,★★★☆☆ →,3.38,0.0,3.78,No,Not expected,Not imminent,2.3,Increasing,0.12,3.38,4.8833,6.3123,-1.4289,58.2,56.32,193.6581,300.068,277.1425,254.217,Strong trend; Bullish Stochastic; Above VWAP; Above BB Middle,286.6,Low,,10.0,3,New
DE,Industrials,474.39,-0.33,48.98,53.78,Neutral,2.17,471.2377,Neutral,★★★☆☆ →,1.3,0.0,0.67,No,Not expected,Not imminent,1.8,Increasing,0.01,1.3,2.6788,2.8491,-0.1703,69.12,70.16,470.8714,482.8939,471.5795,460.2651,Above VWAP; Above BB Middle,474.73,Low,,12.0,3,New
ADBE,Technology,325.86,0.24,43.83,38.09,Neutral,2.18,335.5526,Bearish,★★★☆☆ →,-2.83,0.0,-2.89,No,Not expected,Not imminent,2.2,Decreasing,0.0,-2.83,-4.079,-3.5548,-0.5243,15.77,19.97,392.4852,361.0327,338.7127,316.3928,Balanced metrics,324.9,Low,,20.0,3,New
NFLX,Communication Services,114.43,3.75,40.36,51.32,Neutral,2.78,113.1201,Bullish,★★★☆☆ →,4.7,0.0,1.16,No,Not expected,Not imminent,2.3,Decreasing,0.01,4.7,-0.2132,-0.8309,0.6178,49.4,58.54,106.7884,115.3644,111.2489,107.1334,Bullish MACD; Above VWAP; Above BB Middle,114.54,Low,,7.0,3,New
COST,Consumer Defensive,898.15,-1.58,40.05,37.31,Neutral,1.67,921.2393,Bearish,★★★☆☆ →,-4.53,0.0,-2.51,No,Not expected,Not imminent,2.1,Increasing,0.0,-4.53,-5.1768,-3.1626,-2.0142,17.99,28.25,961.0357,946.1578,923.0045,899.8511,Balanced metrics,897.93,Low,,29.0,3,New
